Index,Street,Searched Name,Label Name,Count,Description,Image URL,View URL
1,Bourke Street,Melbourne Bourke Street,Bourke Street,83,"Arts Centre Melbourne, originally known as the Victorian Arts Centre and briefly called the Arts Centre, is a performing arts centre consisting of a complex of theatres and concert halls in the Melbourne Arts Precinct, located in the central Melbourne suburb of Southbank in Victoria, Australia. It was designed by architect Roy Grounds, the masterplan for the complex (along with the National Gallery of Victoria) was approved in 1960 and construction began in 1973 following some delays. Arts Centre Melbourne is located by the Yarra River and along St Kilda Road, one of the city's main thoroughfares, and extends into the Melbourne Arts Precinct.",https://www.artscentremelbourne.com.au/-/media/acm/images/about-us/our-history/acm-spire-tram.ashx?la=en&hash=18245899A5DFE7872910949C7BBD55B442AB3B52,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1571732908144!6m8!1m7!1sIChjUrJyeolvtu524Yfieg!2m2!1d-37.81380642068286!2d144.9646929151149!3f258.5734255527203!4f4.3389218341379205!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0;"" allowfullscreen=""""></iframe>"
2,Collins Street,Melbourne Collins Street,Collins Street,89,"As some of Melbourne? oldest structures, the beloved Dendy Street Beach boxes in Brighton have stood the test of time ?watching over Melbourne? bay since the 1860s. Even today, the boxes don? have running water or electricity, keeping with their 1800? style. Originally built to preserve morality and dignity of swimmers during a time when bikinis and budgie smugglers weren? the accepted form of swimwear, the boxes have survived heavy storms, disrepair and various attempts by Brighton council to have them removed. They now stand as one of Melbourne? most-visited tourist spots. ",https://thenorthernboy.com/wp-content/uploads/2019/08/brighton-beach-melbourne-photo-683x1024.png,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1571732982816!6m8!1m7!1styAl99BJHgtG4H3bsGdBPA!2m2!1d-37.81759130308728!2d144.9604920757704!3f79.02810902674614!4f-2.9735865691485373!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0;"" allowfullscreen=""""></iframe>"
3,Elizabeth Street,Melbourne Elizabeth Street,Elizabeth Street,79,"Chinatown is an ethnic enclave in the Central Business District (CBD) of Melbourne, Victoria, Australia. Centred at the eastern end of Little Bourke Street, it extends between the corners of Swanston and Spring Streets, and consists of numerous laneways, alleys and arcades. Established in the 1850s during the Victorian gold rush, it is notable for being the longest continuous Chinese settlement in the Western World and the oldest Chinatown in the Southern Hemisphere. Today, Melbourne's Chinatown is a major tourist attraction, known for its architectural heritage, annual festivals and cuisines of Chinese, Thai, Japanese, Indian, Malaysian, Vietnamese and Korean origins. ",https://whatsonblog.melbourne.vic.gov.au/wp-content/uploads/2018/09/Chinatown-at-night-1-cropped-Medium.jpg,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1571733035741!6m8!1m7!1s1SzCtm5qWyhHI2yrjQkSEQ!2m2!1d-37.81220867431726!2d144.9621621084812!3f122.1039589840269!4f13.861216181314518!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0;"" allowfullscreen=""""></iframe>"
4,Flinders Lane,Melbourne Flinders Lane,Flinders Lane,87,"Cooks' Cottage, previously known as Captain Cook's Cottage, is located in the Fitzroy Gardens, Melbourne, Australia. The cottage was constructed in 1755 in the English village of Great Ayton, North Yorkshire, by the parents of Captain James Cook, James and Grace Cook, and was brought to Melbourne in 1934 by Sir Russell Grimwade. It is a point of conjecture among historians whether James Cook, the famous navigator, ever lived in the house, but almost certainly he visited his parents at the house. The inside of the cottage includes centuries-old antiques and is stylised in the way of the 18th century, as are the clothes of the volunteer guides.",https://www.visitmelbourne.com/-/media/atdw/melbourne/things-to-do/history-and-heritage/heritage-buildings/original__9443091_av41__b3a8744_z723pd7_2048x1152.jpg?ts=20190423300125,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1571733124293!6m8!1m7!1sO3rJuTsBxwiGboKrM6gtpg!2m2!1d-37.81688742967474!2d144.965665842249!3f305.29887849085395!4f8.4930168022277!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0;"" allowfullscreen=""""></iframe>"
5,Flinders Street,Melbourne Flinders Street,Flinders Street,90,"Eureka Tower is a 297.3-metre (975 ft) skyscraper located in the Southbank precinct of Melbourne, Victoria, Australia. Construction began in August 2002 and the exterior completed on 1 June 2006. The project was designed by Melbourne architectural firm Fender Katsalidis Architects and was built by Grollo Australia. It was the world's tallest residential tower when measured to its highest floor, until surpassed by Ocean Heights and the HHHR Tower in Dubai. It is the second tallest building in Australia, behind Q1, Queensland, and is the tallest to roof (excluding spire). As of 2016 it was the 15th tallest residential building in the world. ",https://www.visitvictoria.com/-/media/atdw/melbourne/things-to-do/art-theatre-and-culture/architecture-and-design/90d83c6e13f601e72f7e7d6f8921e2a9_2048x1152.jpeg?ts=20170719301258,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1571733174988!6m8!1m7!1siWZdwtWYNFEUNpuv4wRENA!2m2!1d-37.81735932712588!2d144.9674846036174!3f221.0067288359649!4f9.897238526858033!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0;"" allowfullscreen=""""></iframe>"
6,Little Bourke Street,Melbourne Little Bourke Street,Little Bourke Street,83,"Federation Square is a venue for arts, culture and public events on the edge of the Melbourne central business district. It covers an area of 7.9 acres at the intersection of Flinders and Swanston Streets built above busy railway lines and across the road from Flinders Street station. It incorporates major cultural institutions such as the Ian Potter Centre and ACMI and Koorie Heritage Trust as well as cafes and bars in a series of buildings centred around a large paved square, and a glass walled atrium. The corner is occupied by a glass walled pavilion that provides access to the underground Melbourne Visitor Centre. ",https://www.ytravelblog.com/wp-content/uploads/2014/03/melbourne-5-050.jpg,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1571733268192!6m8!1m7!1s4bRZnN9CAchKlD7OQF0jXw!2m2!1d-37.81178978971528!2d144.9677132100013!3f72.7339931595505!4f9.520616541726525!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0;"" allowfullscreen=""""></iframe>"
7,Lonsdale Street,Melbourne Lonsdale Street,Lonsdale Street,84,"Flinders Street railway station is a railway station on the corner of Flinders and Swanston Streets in Melbourne, Victoria, Australia. It serves the entire metropolitan rail network. Backing onto the city reach of the Yarra River in the heart of the city, the complex covers two whole city blocks and extends from Swanston Street to Queen Street. Listed on the Victorian Heritage Register, the station has Australia's longest platform which is 708-metres long and is also the fourth longest railway platform in the world. It was the first railway station in an Australian city and the world's busiest passenger station in the late 1920s. ",https://img.theculturetrip.com/768x432/wp-content/uploads/2017/08/34672198760_ed57854f92_k.jpg,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1571733351300!6m8!1m7!1sCOp6ZETCRN-NFc6zhfjJDw!2m2!1d-37.81150315658409!2d144.9646756664976!3f69.38403782216349!4f14.702285063426999!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0;"" allowfullscreen=""""></iframe>"
8,Lygon Street,Melbourne Lygon Street,Lygon Street,92,"The General Post Office, situated on the corner of Elizabeth and Bourke Streets in Melbourne, is the former General Post Office for Victoria. Still owned by the Federal Government, the building appears on all major heritage lists: the National Trust of Victoria (Australia), the Commonwealth Heritage List, and the state of Victoria where it is noted for its fine and impressive architecture and historical significance. The location of the post office is still used as a point of reference for the measure of distances from the centre of Melbourne. ",https://upload.wikimedia.org/wikipedia/commons/8/82/Melbourne_GPO_%2811546609565%29.jpg,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1571733584168!6m8!1m7!1s7LtL1dffzXRbV3du-uglng!2m2!1d-37.80390965138101!2d144.9663325292122!3f317.8172106839468!4f2.186084108291709!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0;"" allowfullscreen=""""></iframe>"
9,Russell Street,Melbourne Russell Street,Russell Street,74,"Opposite Federation Square and joining Flinders Lane with Flinders Street, the cobblestoned Hosier Lane is arguably the central point of the city's street art scene. Declared a ?raffiti tolerance zone?by the city council, Hosier Lane contains the area? densest collection of spray-painted masterpieces. Aerosol-wielding artists from around the world have left their mark on Melbourne here. Walk down the famous bluestone laneway and admire the street art that has made the Melbourne urban art scene known across the globe. Take in the dizzying array of colours, characters and shapes created by local and international artists alike. Pick out everything from stencils and paste-ups to murals and installations.",https://d3n8a8pro7vhmx.cloudfront.net/victoriansocialists/pages/292/attachments/original/1535450416/40235595_2302889569784347_3229226862928461824_n.jpg?1535450416,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1571733699004!6m8!1m7!1sh5tsPSAo-8vac6ULvnbrFQ!2m2!1d-37.8144746842397!2d144.9689646390089!3f217.66154729454252!4f26.09242328830838!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0;"" allowfullscreen=""""></iframe>"
10,Swanston Street,Melbourne Swanston Street,Swanston Street,78,"The Immigration Museum is a museum primarily displaying Australia's immigration history. It is located on Flinders Street in Melbourne, Victoria, in the Old Customs House. The building occupies the site of one of the first buildings in the city, Fawkner's Hotel, built in 1835 by John Pascoe Fawkner, one of the founders of Melbourne. The museum was founded in 1998, and is a division of Museums Victoria, which administers the cultural and scientific collections of the State of Victoria. Its sister museums are Melbourne Museum and Scienceworks Museum. ",https://img.theculturetrip.com/768x432/wp-content/uploads/2016/11/immigration_museum.jpg,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1571733824833!6m8!1m7!1srPbu8aWbw3cFRTof7Ga3IA!2m2!1d-37.81359762351897!2d144.965448044828!3f11.311628913402899!4f21.408098665514856!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0;"" allowfullscreen=""""></iframe>"
