Index,Landmark,Searched Name,Label Name,Count,Coordinate,Description,Image URL
1,Arts Centre,Arts Centre Melbourne,Arts Centre,207,"-37.820181, 144.968087","Arts Centre Melbourne, originally known as the Victorian Arts Centre and briefly called the Arts Centre, is a performing arts centre consisting of a complex of theatres and concert halls in the Melbourne Arts Precinct, located in the central Melbourne suburb of Southbank in Victoria, Australia. It was designed by architect Roy Grounds, the masterplan for the complex (along with the National Gallery of Victoria) was approved in 1960 and construction began in 1973 following some delays. Arts Centre Melbourne is located by the Yarra River and along St Kilda Road, one of the city's main thoroughfares, and extends into the Melbourne Arts Precinct.",https://www.artscentremelbourne.com.au/-/media/acm/images/about-us/our-history/acm-spire-tram.ashx?la=en&hash=18245899A5DFE7872910949C7BBD55B442AB3B52
2,Brighton Bathing Boxes,Brighton Bathing Boxes,Brighton Bathing Boxes,401,"-37.917722, 144.986612","As some of Melbourne’s oldest structures, the beloved Dendy Street Beach boxes in Brighton have stood the test of time – watching over Melbourne’s bay since the 1860s. Even today, the boxes don’t have running water or electricity, keeping with their 1800’s style. Originally built to preserve morality and dignity of swimmers during a time when bikinis and budgie smugglers weren’t the accepted form of swimwear, the boxes have survived heavy storms, disrepair and various attempts by Brighton council to have them removed. They now stand as one of Melbourne’s most-visited tourist spots. ",https://thenorthernboy.com/wp-content/uploads/2019/08/brighton-beach-melbourne-photo-683x1024.png
3,Chinatown,Chinatown Melbourne,Chinatown,627,"-37.812201, 144.966352","Chinatown is an ethnic enclave in the Central Business District (CBD) of Melbourne, Victoria, Australia. Centred at the eastern end of Little Bourke Street, it extends between the corners of Swanston and Spring Streets, and consists of numerous laneways, alleys and arcades. Established in the 1850s during the Victorian gold rush, it is notable for being the longest continuous Chinese settlement in the Western World and the oldest Chinatown in the Southern Hemisphere. Today, Melbourne's Chinatown is a major tourist attraction, known for its architectural heritage, annual festivals and cuisines of Chinese, Thai, Japanese, Indian, Malaysian, Vietnamese and Korean origins. ",https://whatsonblog.melbourne.vic.gov.au/wp-content/uploads/2018/09/Chinatown-at-night-1-cropped-Medium.jpg
4,Cooks' Cottage,Cooks' Cottage,Cooks' Cottage,475,"-37.814502, 144.979452","Cooks' Cottage, previously known as Captain Cook's Cottage, is located in the Fitzroy Gardens, Melbourne, Australia. The cottage was constructed in 1755 in the English village of Great Ayton, North Yorkshire, by the parents of Captain James Cook, James and Grace Cook, and was brought to Melbourne in 1934 by Sir Russell Grimwade. It is a point of conjecture among historians whether James Cook, the famous navigator, ever lived in the house, but almost certainly he visited his parents at the house. The inside of the cottage includes centuries-old antiques and is stylised in the way of the 18th century, as are the clothes of the volunteer guides.",https://www.visitmelbourne.com/-/media/atdw/melbourne/things-to-do/history-and-heritage/heritage-buildings/original__9443091_av41__b3a8744_z723pd7_2048x1152.jpg?ts=20190423300125
5,Eureka Tower,Eureka Tower,Eureka Tower,386,"-37.821455, 144.964694","Eureka Tower is a 297.3-metre (975 ft) skyscraper located in the Southbank precinct of Melbourne, Victoria, Australia. Construction began in August 2002 and the exterior completed on 1 June 2006. The project was designed by Melbourne architectural firm Fender Katsalidis Architects and was built by Grollo Australia. It was the world's tallest residential tower when measured to its highest floor, until surpassed by Ocean Heights and the HHHR Tower in Dubai. It is the second tallest building in Australia, behind Q1, Queensland, and is the tallest to roof (excluding spire). As of 2016 it was the 15th tallest residential building in the world. ",https://www.visitvictoria.com/-/media/atdw/melbourne/things-to-do/art-theatre-and-culture/architecture-and-design/90d83c6e13f601e72f7e7d6f8921e2a9_2048x1152.jpeg?ts=20170719301258
6,Federation Square,Federation Square,Federation Square,431,"-37.817939, 144.968358","Federation Square is a venue for arts, culture and public events on the edge of the Melbourne central business district. It covers an area of 7.9 acres at the intersection of Flinders and Swanston Streets built above busy railway lines and across the road from Flinders Street station. It incorporates major cultural institutions such as the Ian Potter Centre and ACMI and Koorie Heritage Trust as well as cafes and bars in a series of buildings centred around a large paved square, and a glass walled atrium. The corner is occupied by a glass walled pavilion that provides access to the underground Melbourne Visitor Centre. ",https://www.ytravelblog.com/wp-content/uploads/2014/03/melbourne-5-050.jpg
7,Flinders Street Station,Flinders Street Station,Flinders Street Station,552,"-37.818328, 144.966969","Flinders Street railway station is a railway station on the corner of Flinders and Swanston Streets in Melbourne, Victoria, Australia. It serves the entire metropolitan rail network. Backing onto the city reach of the Yarra River in the heart of the city, the complex covers two whole city blocks and extends from Swanston Street to Queen Street. Listed on the Victorian Heritage Register, the station has Australia's longest platform which is 708-metres long and is also the fourth longest railway platform in the world. It was the first railway station in an Australian city and the world's busiest passenger station in the late 1920s. ",https://img.theculturetrip.com/768x432/wp-content/uploads/2017/08/34672198760_ed57854f92_k.jpg
8,GPO(General Post Office),General Post Office Melbourne,General Post Office,106,"-37.813721, 144.963315","The General Post Office, situated on the corner of Elizabeth and Bourke Streets in Melbourne, is the former General Post Office for Victoria. Still owned by the Federal Government, the building appears on all major heritage lists: the National Trust of Victoria (Australia), the Commonwealth Heritage List, and the state of Victoria where it is noted for its fine and impressive architecture and historical significance. The location of the post office is still used as a point of reference for the measure of distances from the centre of Melbourne. ",https://upload.wikimedia.org/wikipedia/commons/8/82/Melbourne_GPO_%2811546609565%29.jpg
9,Hosier Lane,Hosier Lane,Hosier Lane,494,"-37.816292, 144.969049","Opposite Federation Square and joining Flinders Lane with Flinders Street, the cobblestoned Hosier Lane is arguably the central point of the city's street art scene. Declared a “graffiti tolerance zone” by the city council, Hosier Lane contains the area’s densest collection of spray-painted masterpieces. Aerosol-wielding artists from around the world have left their mark on Melbourne here. Walk down the famous bluestone laneway and admire the street art that has made the Melbourne urban art scene known across the globe. Take in the dizzying array of colours, characters and shapes created by local and international artists alike. Pick out everything from stencils and paste-ups to murals and installations.",https://d3n8a8pro7vhmx.cloudfront.net/victoriansocialists/pages/292/attachments/original/1535450416/40235595_2302889569784347_3229226862928461824_n.jpg?1535450416
10,Immigration Museum,Immigration Museum Melbourne,Immigration Museum,144,"-37.819249, 144.960394","The Immigration Museum is a museum primarily displaying Australia's immigration history. It is located on Flinders Street in Melbourne, Victoria, in the Old Customs House. The building occupies the site of one of the first buildings in the city, Fawkner's Hotel, built in 1835 by John Pascoe Fawkner, one of the founders of Melbourne. The museum was founded in 1998, and is a division of Museums Victoria, which administers the cultural and scientific collections of the State of Victoria. Its sister museums are Melbourne Museum and Scienceworks Museum. ",https://img.theculturetrip.com/768x432/wp-content/uploads/2016/11/immigration_museum.jpg
